deployment_id,species,time_in_fov_s,image_time_s,duration_days
SUN_PRAIRIE_112_R3,Mule deer,0,0,27.94827546
SUN_PRAIRIE_112_R3,Pronghorn,0,0,27.94827546
SUN_PRAIRIE_112_R3,White-tailed deer,0,0,27.94827546
SUN_PRAIRIE_112_R4,American bison,53.230542651181416,38,7.005462963
SUN_PRAIRIE_112_R4,Coyote,0,0,7.005462963
SUN_PRAIRIE_112_R4,Mule deer,0,0,7.005462963
SUN_PRAIRIE_112_R4,Pronghorn,0,0,7.005462963
SUN_PRAIRIE_112_R4,White-tailed deer,0,0,7.005462963
SUN_PRAIRIE_112_R5,American bison,60.64217060472567,60,4.304421296
SUN_PRAIRIE_112_R5,Coyote,0,0,4.304421296
SUN_PRAIRIE_112_R5,Mule deer,0,0,4.304421296
SUN_PRAIRIE_112_R5,Pronghorn,0,0,4.304421296
SUN_PRAIRIE_112_R5,White-tailed deer,0,0,4.304421296
SUN_PRAIRIE_113_R1,American bison,4.410542651181418,8,27.93730324
SUN_PRAIRIE_113_R1,Coyote,0,0,27.93730324
SUN_PRAIRIE_113_R1,Mule deer,0,0,27.93730324
SUN_PRAIRIE_113_R1,Pronghorn,0,0,27.93730324
SUN_PRAIRIE_113_R1,White-tailed deer,0,0,27.93730324
SUN_PRAIRIE_113_R2,American bison,0,0,34.00359954
SUN_PRAIRIE_113_R2,Coyote,0,0,34.00359954
SUN_PRAIRIE_113_R2,Mule deer,0,0,34.00359954
SUN_PRAIRIE_113_R2,Pronghorn,0,0,34.00359954
SUN_PRAIRIE_113_R2,White-tailed deer,0,0,34.00359954
SUN_PRAIRIE_113_R3,American bison,0,0,2.400729167
SUN_PRAIRIE_113_R3,Coyote,0,0,2.400729167
SUN_PRAIRIE_113_R3,Mule deer,0,0,2.400729167
SUN_PRAIRIE_113_R3,Pronghorn,0,0,2.400729167
SUN_PRAIRIE_113_R3,White-tailed deer,0,0,2.400729167
SUN_PRAIRIE_113_R4,American bison,0,0,1.560115741
SUN_PRAIRIE_113_R4,Coyote,0,0,1.560115741
SUN_PRAIRIE_113_R4,Mule deer,0,0,1.560115741
SUN_PRAIRIE_113_R4,Pronghorn,0,0,1.560115741
SUN_PRAIRIE_113_R4,White-tailed deer,0,0,1.560115741
SUN_PRAIRIE_113_R5,American bison,265.60162795354427,192,5.389027778
SUN_PRAIRIE_113_R5,Coyote,0,0,5.389027778
SUN_PRAIRIE_113_R5,Mule deer,0,0,5.389027778
SUN_PRAIRIE_113_R5,Pronghorn,0,0,5.389027778
SUN_PRAIRIE_113_R5,White-tailed deer,0,0,5.389027778
SUN_PRAIRIE_114_R1,American bison,31.29054265118142,18,29.94122685
SUN_PRAIRIE_114_R1,Coyote,0,0,29.94122685
SUN_PRAIRIE_114_R1,Mule deer,0,0,29.94122685
SUN_PRAIRIE_114_R1,Pronghorn,0,0,29.94122685
SUN_PRAIRIE_114_R1,White-tailed deer,56.37861093651791,66,29.94122685
SUN_PRAIRIE_114_R2,American bison,0,0,13.73395833
SUN_PRAIRIE_114_R2,Coyote,0,0,13.73395833
SUN_PRAIRIE_114_R2,Mule deer,0,0,13.73395833
SUN_PRAIRIE_114_R2,Pronghorn,0,0,13.73395833
SUN_PRAIRIE_114_R2,White-tailed deer,0,0,13.73395833
SUN_PRAIRIE_114_R3,American bison,0,0,25.96171296
SUN_PRAIRIE_114_R3,Coyote,0,0,25.96171296
SUN_PRAIRIE_114_R3,Mule deer,0,0,25.96171296
SUN_PRAIRIE_114_R3,Pronghorn,0,0,25.96171296
SUN_PRAIRIE_114_R3,White-tailed deer,0,0,25.96171296
SUN_PRAIRIE_114_R4,American bison,0,0,34.0353588
SUN_PRAIRIE_114_R4,Coyote,0,0,34.0353588
SUN_PRAIRIE_114_R4,Mule deer,593.6949266882363,952,34.0353588
SUN_PRAIRIE_114_R4,Pronghorn,0,0,34.0353588
SUN_PRAIRIE_114_R4,White-tailed deer,0,0,34.0353588
SUN_PRAIRIE_114_R5,American bison,126.41054265118142,206,19.18378472
SUN_PRAIRIE_114_R5,Coyote,0,0,19.18378472
SUN_PRAIRIE_114_R5,Mule deer,99.23873897385042,150,19.18378472
SUN_PRAIRIE_114_R5,Pronghorn,0,0,19.18378472
SUN_PRAIRIE_114_R5,White-tailed deer,0,0,19.18378472
SUN_PRAIRIE_115_R1,American bison,0,0,26.01875
SUN_PRAIRIE_115_R1,Coyote,0,0,26.01875
SUN_PRAIRIE_115_R1,Mule deer,0,0,26.01875
SUN_PRAIRIE_115_R1,Pronghorn,0,0,26.01875
SUN_PRAIRIE_115_R1,White-tailed deer,71.6823610079424,108,26.01875
SUN_PRAIRIE_115_R2,American bison,0,0,25.71938657
SUN_PRAIRIE_115_R2,Coyote,0,0,25.71938657
