deployment,species,mean_density_km2,mean_density_image_time_km2
SUN_PRAIRIE_85,American bison,1.1693628083654408,1.5180593167829557
SUN_PRAIRIE_85,Coyote,0,0
SUN_PRAIRIE_85,Mule deer,0.272739675487288,0.3727774844368458
SUN_PRAIRIE_85,Pronghorn,0,0
SUN_PRAIRIE_85,White-tailed deer,0.1957104029645947,0.23324124400525212
SUN_PRAIRIE_86,American bison,11.856638195379555,11.36429155274354
SUN_PRAIRIE_86,Coyote,0,0
SUN_PRAIRIE_86,Mule deer,0.20353713898130113,0.19335805184529986
SUN_PRAIRIE_86,Pronghorn,0.027482822089134308,0.05133998068177949
SUN_PRAIRIE_86,White-tailed deer,0,0
SUN_PRAIRIE_87,American bison,0.36848441782616825,0.3916367684356269
SUN_PRAIRIE_87,Coyote,0.026958189140205653,0.03104367734619793
SUN_PRAIRIE_87,Mule deer,0.0495134808042734,0.0339069494334108
SUN_PRAIRIE_87,Pronghorn,1.107931982716951,1.0256338550335236
SUN_PRAIRIE_87,White-tailed deer,0,0
SUN_PRAIRIE_88,American bison,1.8911723812550165,2.494095058276976
SUN_PRAIRIE_88,Coyote,0.04926468770089579,0.09365081914581248
SUN_PRAIRIE_88,Mule deer,0.3071956095902592,0.3853139125124052
SUN_PRAIRIE_88,Pronghorn,0.0667810219287154,0.0913013082585151
SUN_PRAIRIE_88,White-tailed deer,0,0
SUN_PRAIRIE_88B,American bison,140.6158518106896,148.26770079982748
SUN_PRAIRIE_88B,Coyote,0,0
SUN_PRAIRIE_88B,Mule deer,0,0
SUN_PRAIRIE_88B,Pronghorn,0,0
SUN_PRAIRIE_88B,White-tailed deer,0,0
SUN_PRAIRIE_89,American bison,1.7684420418688664,2.467070847267069
SUN_PRAIRIE_89,Coyote,0.29604695893269256,0.1937623247396065
SUN_PRAIRIE_89,Mule deer,27.999615501705005,30.333363744364238
SUN_PRAIRIE_89,Pronghorn,0,0
SUN_PRAIRIE_89,White-tailed deer,0,0
SUN_PRAIRIE_90,American bison,26.609254244262296,13.046804721945325
SUN_PRAIRIE_90,Coyote,0.12145033941324376,0.08593822333590405
SUN_PRAIRIE_90,Mule deer,0.3291189258131662,0.3261810407097811
SUN_PRAIRIE_90,Pronghorn,0,0
SUN_PRAIRIE_90,White-tailed deer,0,0
SUN_PRAIRIE_91,American bison,1.6143819766504757,1.8654181420704632
SUN_PRAIRIE_91,Coyote,0.0545149549244139,0.023311403366667954
SUN_PRAIRIE_91,Mule deer,0,0
SUN_PRAIRIE_91,Pronghorn,0.01796371366664641,0.027196637261112617
SUN_PRAIRIE_91,White-tailed deer,0,0
SUN_PRAIRIE_92,American bison,2.6086733360282404,1.6451550341357755
SUN_PRAIRIE_92,Coyote,0,0
SUN_PRAIRIE_92,Mule deer,0.011387038196654709,0.023384973584126008
SUN_PRAIRIE_92,Pronghorn,0.47236439321613255,0.35650901169649013
SUN_PRAIRIE_92,White-tailed deer,0,0
SUN_PRAIRIE_93,American bison,3.902044094089759,2.7940347208896803
SUN_PRAIRIE_93,Coyote,0,0
SUN_PRAIRIE_93,Mule deer,0,0
SUN_PRAIRIE_93,Pronghorn,0,0
SUN_PRAIRIE_93,White-tailed deer,0,0
SUN_PRAIRIE_95,American bison,0.41511448797199074,0.45997324012476465
SUN_PRAIRIE_95,Coyote,0,0
SUN_PRAIRIE_95,Mule deer,0,0
SUN_PRAIRIE_95,Pronghorn,0.06324643778126891,0.112552179978722
SUN_PRAIRIE_95,White-tailed deer,0,0
SUN_PRAIRIE_96,American bison,0.03286445749575199,0.03653245508785009
SUN_PRAIRIE_96,Coyote,0,0
SUN_PRAIRIE_96,Mule deer,0.4034521339323629,0.4799145194108305
SUN_PRAIRIE_96,Pronghorn,0,0
