deployment_id,species,week,time_in_fov_s,image_time_s,duration_days,distance,effort,density_km2,density_image_time_km2
SUN_PRAIRIE_101_R4,Mule deer,38,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_101_R4,Mule deer,39,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_101_R4,Pronghorn,34,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_101_R4,Pronghorn,35,49.36793080505655,18,7,14,4.513805418092775,1.2658677880335334,0.4615469964617145
SUN_PRAIRIE_101_R4,Pronghorn,36,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_101_R4,Pronghorn,37,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_101_R4,Pronghorn,38,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_101_R4,Pronghorn,39,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_101_R4,White-tailed deer,34,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_101_R4,White-tailed deer,35,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_101_R4,White-tailed deer,36,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_101_R4,White-tailed deer,37,0,0,7,14,4.513805418092775,0,0
