deployment_id,species,time_in_fov_s,image_time_s,duration_days,distance_m,effort,density_km2,density_image_time_km2
SUN_PRAIRIE_87_R2,American bison,354.99104548139394,314,34.88229167,14,22.493125305076923,1.8266437412800431,1.6157200077656484
SUN_PRAIRIE_88_R1,American bison,487.3808974334546,348,9.428240741,13,5.242109518679078,10.760901864188702,7.683505587637377
SUN_PRAIRIE_88_R2,American bison,109.22209096278795,122,34.8780787,14,22.49040865838946,0.5620816369012522,0.6278396531093327
SUN_PRAIRIE_88B_R1,American bison,1270.850419231563,830,11.10444444,5,0.913325464252591,161.0479228375732,105.1813603964588
SUN_PRAIRIE_89_R1,American bison,215.46115015316144,138,31.95515046,5,2.628267698292963,9.488239396533178,6.07709109410584
SUN_PRAIRIE_89_R2,American bison,316.786568222091,232,35.92532407,14,23.16570320484354,1.5827325308681321,1.159120947653236
SUN_PRAIRIE_90_R1,American bison,56.25104548139397,26,1.356354167,3.5,0.05466356060586887,119.10196846486873,55.05055334679709
SUN_PRAIRIE_90_R2,American bison,196.861045481394,112,3.214849537,14,2.073029322637664,10.99108583665493,6.253149833148165
SUN_PRAIRIE_91_R1,American bison,364.9824406647694,180,7.518599537,17,7.148641508295732,5.909281923129316,2.914306628631052
SUN_PRAIRIE_91_R2,American bison,190.16656822209097,188,36.95849537,14,23.83192237795182,0.9235519955583632,0.9130299651944951
SUN_PRAIRIE_92_R1,American bison,269.15870431187244,162,8.709988426,12,4.126375936317638,7.5496339389945675,4.543938867754359
SUN_PRAIRIE_92_R2,American bison,169.95104548139398,58,35.89355324,14,23.1452164413305,0.8498628623128623,0.29003673307524575
SUN_PRAIRIE_93_R1,American bison,43.10552274069698,18,6.620752315,12,3.136595790573476,1.5905986825012424,0.6642020433727706
SUN_PRAIRIE_93_R2,American bison,18.111045481393976,16,26.00864583,14,16.77113806638715,0.12498769083578035,0.11041897362727865
SUN_PRAIRIE_95_R1,American bison,78.11104548139397,66,17.09109954,20,22.49151536583526,0.4019573655665281,0.3396342471655958
SUN_PRAIRIE_95_R2,American bison,155.32163645972582,108,33.99114583,14,21.91848831637652,0.820177057716205,0.5702948040746293
SUN_PRAIRIE_96_R1,American bison,0,0,19.16759259,4,1.0089654027351245,0,0
SUN_PRAIRIE_96_R2,American bison,15.111045481393976,18,28.01274306,14,18.063438771409825,0.0968234022057727,0.11533425942300421
SUN_PRAIRIE_97_R1,American bison,294.67643584309093,170,30.05181713,9,8.008376424037252,4.258799431673926,2.4569182171392896
SUN_PRAIRIE_97_R2,American bison,65.38865918487892,90,37.91802083,14,24.45065255225839,0.3095267839550031,0.42602816609508154
SUN_PRAIRIE_98_R1,American bison,249.26656822209094,232,22.54513889,19,26.776193583436108,1.0774607360836432,1.0028255796769616
SUN_PRAIRIE_98_R2,American bison,134.72656822209098,86,0.013229167,14,0.008530555097350592,1827.94116274165,1166.8295427568496
SUN_PRAIRIE_99_R1,American bison,0,0,1.1253125,16,0.9477675399738824,0,0
SUN_PRAIRIE_99_R2,American bison,3.0555227406969876,2,12.87725694,14,8.3036331637064,0.04258960606595409,0.02787713244525818
